list_name,name,label,label::Dari,label::Pashto,ao
province,AF01,Kabul,کابل,کابل,KAO
province,AF02,Kapisa,کاپیسا,کاپیسا,KAO
province,AF03,Parwan,پروان,پروان,KAO
province,AF04,Maidan Wardak,میدان وردک,میدان وردک,KAO
province,AF05,Logar,لوگر,لوگر,KAO
province,AF06,Nangarhar,ننگرهار,ننگرهار,JAO
province,AF07,Laghman,لغمان,لغمان,JAO
province,AF08,Panjsher,پنجشیر,پنجشیر,KAO
province,AF09,Baghlan,بغلان,بغلان,FAO
province,AF10,Bamyan,بامیان,بامیان,KAO
province,AF11,Ghazni,غزنی,غزنی,KAO
province,AF12,Paktika,پکتیکا,پکتیکا,KAO
province,AF13,Paktya,پکتیا,پکتیا,KAO
province,AF14,Khost,خوست,خوست,KAO
province,AF15,Kunar,کنر,کنر,JAO
province,AF16,Nuristan,نورستان,نورستان,JAO
province,AF17,Badakhshan,بدخشان,بدخشان,FAO
province,AF18,Takhar,تخار,تخار,FAO
province,AF19,Kunduz,کندز,کندز,FAO
province,AF20,Samangan,سمنگان,سمنگان,MAO
province,AF21,Balkh,بلخ,بلخ,MAO
province,AF22,Sar-e-Pul,سرپل,سرپل,MAO
province,AF23,Ghor,غور,غور,HAO
province,AF24,Daykundi,دایکندی,دایکندی,KAO
province,AF25,Uruzgan,ارزگان,ارزگان,KANAO
province,AF26,Zabul,زابل,زابل,KANAO
province,AF27,Kandahar,کندهار,کندهار,KANAO
province,AF28,Jawzjan,جوزجان,جوزجان,MAO
province,AF29,Faryab,فاریاب,فاریاب,MAO
province,AF30,Hilmand,هلمند,هلمند,KANAO
province,AF31,Badghis,بادغیس,بادغیس,HAO
province,AF32,Hirat,هرات,هرات,HAO
province,AF33,Farah,فراه,فراه,HAO
province,AF34,Nimroz,نیمروز,نیمروز,KANAO
